,id,intnum,floatnum,plus(+),minus(-),mult(*),div(/),semi(;),comma,dot(.),eq(==),returntype(=>),assign(=),lt(<),leq(<=),noteq(<>),gt(>),geq(>=),colon(:),scopeop(::),openpar((),closepar()),opencubr({),closecubr(}),opensqbr([),closesqbr(]),and,or,not,integer,float,void,class,self,isa,while,if,then,else,read,write,return,localvar,constructor,attribute,function,public,private,$
factor,factor_A,factor_B,factor_C,factor_F,factor_F,pop,pop,pop,pop,scan,pop,scan,scan,pop,pop,pop,pop,pop,scan,scan,factor_D,pop,scan,scan,scan,pop,pop,pop,factor_E,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
term,term_A,term_A,term_A,term_A,term_A,scan,scan,pop,pop,scan,pop,scan,scan,pop,pop,pop,pop,pop,scan,scan,term_A,pop,scan,scan,scan,pop,scan,scan,term_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
localVarDeclFollowing,pop,scan,scan,scan,scan,scan,scan,localVarDeclFollowing_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,localVarDeclFollowing_B,scan,scan,pop,localVarDeclFollowing_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,pop,scan,scan,pop,pop,pop,pop,scan,scan,scan,scan,scan,pop
multOp,pop,pop,pop,pop,pop,multOp_A,multOp_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multOp_C,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
rightrecTerm,scan,scan,scan,rightrecTerm_A,rightrecTerm_A,rightrecTerm_B,rightrecTerm_B,rightrecTerm_A,rightrecTerm_A,scan,rightrecTerm_A,scan,scan,rightrecTerm_A,rightrecTerm_A,rightrecTerm_A,rightrecTerm_A,rightrecTerm_A,scan,scan,scan,rightrecTerm_A,scan,scan,scan,rightrecTerm_A,rightrecTerm_B,rightrecTerm_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
multiVisiMemberDecl,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiVisiMemberDecl_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiVisiMemberDecl_A,multiVisiMemberDecl_A,multiVisiMemberDecl_A,multiVisiMemberDecl_A,multiVisiMemberDecl_A,pop
multiIndice,scan,scan,scan,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,scan,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,multiIndice_B,scan,scan,scan,multiIndice_B,scan,scan,multiIndice_A,multiIndice_B,multiIndice_B,multiIndice_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
optClassDecl2,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,optClassDecl2_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,optClassDecl2_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
expr,expr_A,expr_A,expr_A,expr_A,expr_A,scan,scan,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,expr_A,pop,scan,scan,scan,scan,scan,scan,expr_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
exprFollowing,scan,scan,scan,scan,scan,scan,scan,exprFollowing_B,exprFollowing_B,scan,exprFollowing_A,scan,scan,exprFollowing_A,exprFollowing_A,exprFollowing_A,exprFollowing_A,exprFollowing_A,scan,scan,scan,exprFollowing_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
functionCallOrAssignStat,scan,scan,scan,scan,scan,scan,scan,functionCallOrAssignStat_B,scan,scan,scan,scan,functionCallOrAssignStat_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
type,type_C,scan,scan,scan,scan,scan,scan,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,pop,pop,scan,pop,scan,scan,scan,scan,type_A,type_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
arithExpr,arithExpr_A,arithExpr_A,arithExpr_A,arithExpr_A,arithExpr_A,scan,scan,pop,pop,scan,scan,scan,scan,pop,pop,pop,pop,pop,scan,scan,scan,pop,scan,scan,scan,pop,scan,scan,arithExpr_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
arraySizeParam,scan,arraySizeParam_A,scan,scan,scan,scan,scan,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,pop,arraySizeParam_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
rightrecArithExpr,scan,scan,scan,rightrecArithExpr_B,rightrecArithExpr_B,scan,scan,rightrecArithExpr_A,rightrecArithExpr_A,scan,rightrecArithExpr_A,scan,scan,rightrecArithExpr_A,rightrecArithExpr_A,rightrecArithExpr_A,rightrecArithExpr_A,rightrecArithExpr_A,scan,scan,scan,rightrecArithExpr_A,scan,scan,scan,rightrecArithExpr_A,scan,rightrecArithExpr_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
arraySize,scan,scan,scan,scan,scan,scan,scan,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,arraySize_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
classDeclOrFuncDef,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,classDeclOrFuncDef_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,classDeclOrFuncDef_B,scan,scan,pop
multiIdnest,scan,scan,scan,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_A,multiIdnest_B,scan,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_B,multiIdnest_B,scan,scan,scan,multiIdnest_B,scan,scan,scan,multiIdnest_B,multiIdnest_B,multiIdnest_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
multiArraySize,scan,scan,scan,scan,scan,scan,scan,multiArraySize_B,multiArraySize_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiArraySize_B,scan,scan,multiArraySize_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
optIdnestFollowing,scan,scan,scan,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,scan,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,scan,scan,optIdnestFollowing_A,optIdnestFollowing_B,scan,scan,optIdnestFollowing_A,optIdnestFollowing_B,optIdnestFollowing_B,optIdnestFollowing_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan
